epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.7136,1.78454,2.54817,1.69409,0.63609,0.70979,0.69857,0.3652,1.56095,1.22791,1.47614,0.000331811,0.000331811,0.000331811
2,134.913,1.59194,1.5025,1.49735,0.81862,0.80284,0.82862,0.44271,1.54437,1.05297,1.44944,0.000599295,0.000599295,0.000599295
3,198.089,1.56384,1.23024,1.46211,0.83006,0.83147,0.86868,0.47172,1.55437,1.00065,1.40463,0.000800779,0.000800779,0.000800779
4,260.611,1.52694,1.06283,1.42705,0.88251,0.85969,0.90156,0.50141,1.48285,0.861,1.3878,0.000703,0.000703,0.000703
5,323.088,1.47848,0.96078,1.38578,0.81912,0.87585,0.88131,0.50025,1.42502,0.82267,1.35254,0.000604,0.000604,0.000604
6,386.501,1.44508,0.89001,1.36085,0.87612,0.87506,0.92049,0.53051,1.4442,0.80386,1.35832,0.000505,0.000505,0.000505
7,449.763,1.41182,0.82413,1.333,0.91981,0.87035,0.93215,0.54461,1.413,0.73709,1.32488,0.000406,0.000406,0.000406
8,511.896,1.38006,0.77536,1.3094,0.92109,0.88049,0.93525,0.54121,1.3959,0.72231,1.30501,0.000307,0.000307,0.000307
9,574.418,1.3449,0.73169,1.28018,0.93274,0.92311,0.95124,0.56127,1.37594,0.66108,1.28418,0.000208,0.000208,0.000208
10,637.335,1.3086,0.69299,1.25953,0.95186,0.90824,0.95856,0.5696,1.36221,0.64185,1.27567,0.000109,0.000109,0.000109
